00981818-a	asantĕr
01754421-a	asantun
02461723-a	asatya
01372049-a	asĕḍĕp
01800349-a	asĕḍĕp
01361863-a	asĕkĕl
02251212-a	asĕnĕt
00113818-a	asĕṅhit	sĕṅit
02324397-a	asĕpa
02399595-a	asĕpa
01086545-a	asĕpi
02251212-a	asĕpi
01447302-a	asiṅsĕt
01452593-a	asrak
00032733-a	asrĕpĕt
00217728-a	aśrī
00077645-a	atakut
00980527-a	atamban
01901186-a	atamban
00842199-a	atĕguh
01447302-a	atĕguh
02290998-a	atĕguh
02526124-a	atĕguh
02547317-a	atĕlĕs
01436003-a	atĕṇḍĕk
01918984-a	atĕṅö
01922763-a	atĕṅö
02123314-a	atĕṅö
00444519-a	atĕpĕk
01251128-a	atis
02529945-a	atis
00594413-a	atitir
01827946-a	atpada
00439588-a	atugul
01643620-a	atuha-tuha
02099774-a	atuha-tuha
00505853-a	atulya
01150915-a	atwas
00460735-a	awa	mawa, māwa, awā, māwā
00948670-a	awāhya
01509527-a	awantö
00583239-a	awantu
01509527-a	awantu
01083157-a	awapūrṇa
01635146-a	awasthita
00077645-a	awĕdi
01387319-a	awĕgah
00594413-a	awichinna
00831225-a	awidya
00153898-a	awiraṅ
00077645-a	awrin	wrin-wrin, kawrin-wrin
01387319-a	awugah
00113818-a	awuyuṅ	ahuyuṅ
02497141-a	ayogya
01066542-a	bahu
01823092-a	bahula
00948103-a	bāhya
00842199-a	balawān
01824244-a	balawān
01825671-a	balawān
02526124-a	balawān
00842199-a	balawanta
01824244-a	balawanta
01825671-a	balawanta
02526124-a	balawanta
01919931-a	baṅkak
00764484-a	basaja
01222360-a	basaja
01791911-a	basaja
00013887-a	bĕk	bök
00113818-a	bĕndu
00919542-a	berag
00289082-a	bhagna
00961392-a	bhaktimanta
00113818-a	bhāmana
01725712-a	bhāmana
00339941-a	bhīru	bhīrun
00077645-a	bhīta
00339941-a	bhīta
00736299-a	bhraṃśa
02225510-a	binisa
00913454-a	biṣama
00419289-a	bolotĕn
02569130-a	buddhimān
00681930-a	buḍĕg
00697923-a	byakta
00113818-a	cala
00032733-a	caliriṅ
00419289-a	camah
02384077-a	caṅgih
00205295-a	cĕkap
00392812-a	cĕmĕṅ
01889819-a	cĕṅka
00631391-a	cĕpat
00336831-a	cĕpĕt
00631391-a	cĕpĕt
00914421-a	cĕpĕt
01837744-a	cĕpĕt
01391351-a	cili	acili
02461723-a	clor	cĕlor
00647542-a	codya
02461723-a	crol
00419289-a	cute	acute
01386883-a	dalu
01735736-a	dānta
02025498-a	daridra
00810916-a	darpa
00885695-a	darpa
00919542-a	darpa
01725712-a	darpa
01889819-a	darpa
01564315-a	ḍĕm	ḍöm
00888765-a	dĕṅgi
02251212-a	ḍewek
00958151-a	dharmātma
02036934-a	dharmātma
00262792-a	dhīra
00583239-a	dhīra
00595299-a	dhīra
00842199-a	dhīra
02301560-a	dhīra
00393105-a	dhota
00583239-a	dhruwa	dhruwam
00595299-a	dhruwa	dhruwam
01754421-a	dhruwa	dhruwam
01755024-a	dhruwa	dhruwam
01391351-a	ḍiḍik	saḍiḍik
01010862-a	ḍihin
00339941-a	dīna
00703615-a	dīna
01968165-a	dina-dina
00904745-a	dinīna
01675190-a	diwya	dibya
00250739-a	doropon
00888765-a	drĕṅgi
02515341-a	dṛśya
01410363-a	dudū
01010862-a	ḍumuhun
01049462-a	durlakṣmī
02025498-a	durlakṣmī
00439588-a	durmedha
00831225-a	durmedha
00439588-a	duṣprajña
02251212-a	ekaki
00419289-a	emĕl
00393105-a	ĕpik
00153898-a	eraṅ
00032733-a	gapitan
00173220-a	garbhiṇī
01263013-a	garwa
01889256-a	garwa
01889819-a	garwita
00913454-a	gasal
00520214-a	gĕnĕp
01083157-a	gĕnĕp
02431728-a	gĕñjor
02510879-a	ghora
01452593-a	ghūrṇita
00885695-a	girahyasĕn
00919542-a	girahyasĕn
01891773-a	guragaḍa
02510879-a	guragaḍa
02389220-a	hagahĕn	haga-hagahĕn
02390335-a	hagahĕn	haga-hagahĕn
00919542-a	hamham
01640850-a	hañar-hañaran
00810916-a	haṅun-aṅun	haṅu-haṅun
00919542-a	haṅun-aṅun	haṅu-haṅun
01361414-a	harṣaja
01918984-a	hĕnĕṅ	ĕnĕṅ, hĕnaṅ
01922763-a	hĕnĕṅ	ĕnĕṅ, hĕnaṅ
01889819-a	hĕṅkara
02324397-a	hīnabala
01049462-a	hīnabhāgya
02025498-a	hīnadhana
02324397-a	hīnawīrya
01003050-a	huwus
02341266-a	inatiśaya	umatiśaya
00800826-a	iṅid-iṅidan
00888765-a	īrṣya
00153898-a	isin
02069355-a	itara
02570282-a	jañjan
01643620-a	jaramanta
01905653-a	jarnih
00217728-a	jātirūpa
00077645-a	jĕjĕrih
00392812-a	jĕmbul
02384077-a	jĕwah
00760916-a	jugjug
02314584-a	jugjug
00439588-a	jugul
00831225-a	jugul
00760916-a	jujug
02314584-a	jujug
00013887-a	jumbuh
01010862-a	jyeṣṭha
01277426-a	jyeṣṭha
00919542-a	kaboṅan
00113818-a	kabrahman
02515341-a	kacakṣugraha
02515341-a	kadriyan
01727926-a	kahaliwat	kaliwat
02547317-a	kahīsan
02035337-a	kahiwaṅ
02326695-a	kakö	kaku, akaku
00419289-a	kaluṣa
01114434-a	kalyāṇa
01588172-a	kalyāṇa
02036934-a	kalyāṇa
01361863-a	kamasĕḍihĕn
00113818-a	kamasĕṅhitĕn
02515341-a	kamatan
00217728-a	kānta
00419289-a	kaparatan
00372111-a	kapila
00336831-a	kaprasiddha
01361863-a	karaṅrwaṅ	karaṅḍwaṅ
02510879-a	karkaśa
00631391-a	kasiṅgihan
02460502-a	kasiṅgihan
01131803-a	kaśmala
00631391-a	kasuṅguhan
02460502-a	kasuṅguhan
00077645-a	kataṅgĕlan
00460735-a	katara
01618053-a	katara
02515341-a	katara
01704761-a	katĕgalan
02515341-a	katĕṅĕran
02251212-a	kāwakan
02515341-a	kawas
00885695-a	kawigaran
02547317-a	kĕbĕs	akĕbĕs
02431728-a	kĕli-kĕlik
01643620-a	kĕlut	akĕlut
01446749-a	kĕṇḍo
00631391-a	kĕnoh
01878466-a	kĕnoh
01140514-a	kikuk	akikuk
00888765-a	kimburu
02251212-a	kinaluṣa
01391351-a	kiñcit	sakiñcit, kiñci-kiñcit
01140514-a	kiṭuṅ
00166146-a	komala
02448889-a	komala
00732960-a	konĕṅ-unĕṅ	konaṅ-unaṅ
01210854-a	koñjuk
00842199-a	kosa
01824244-a	kosa
02526124-a	kosa
00904745-a	kṛpaṇa	kṛpāṇa
02025498-a	kṛpaṇa	kṛpāṇa
00988232-a	kṛśa
02324397-a	kṛśa
00392812-a	kṛṣṇawarṇa
02569130-a	kṛtajñāna
02461723-a	kṛtaka
01735736-a	kṣamawān
00842199-a	kukuh
02447344-a	kukuh
02448437-a	kukuh
02526124-a	kukuh
02236842-a	kulimis	akulimis
00703615-a	kumĕl	akumĕl
00806512-a	kumĕl	akumĕl
00220956-a	kurūpa
02225510-a	kuśala
02331262-a	labdhagati
00032733-a	lagut
00594413-a	lanā
01754421-a	lanā
00594413-a	laṇḍuh
00583239-a	laṅgĕṅ
00595299-a	laṅgĕṅ
00842199-a	laṅgĕṅ
01754421-a	laṅgĕṅ
01758339-a	laṅgĕṅ
00619433-a	lawar
02368336-a	lĕgi
00419289-a	linatuh
02341266-a	linĕwih
00166146-a	lituhayu
00217728-a	lituhayu
01586342-a	lituhayu
01114434-a	loma
00888765-a	lubdha
02275892-a	luḍuh
00294579-a	luhya
02324397-a	luhya
02431728-a	luhya
02324397-a	lume	lumay, alume, alumeh
02461723-a	luwik	luhik, lĕwik
01083157-a	lyab
01481612-a	mabhārya
00570590-a	macetana
01386883-a	mahā
01825671-a	mahotsāha
01919931-a	makakrĕtĕb
01652782-a	makĕkĕb
01918984-a	makĕkĕb
01922763-a	makĕkĕb
00709215-a	malĕñcir
01889819-a	mānamānasa
00173220-a	maṅaṇḍuṅ
00703615-a	manastāpa
00904745-a	manastāpa
01361863-a	manastāpa
01049462-a	mandabhāgya
00619433-a	mantah
00842199-a	mantĕb
01391351-a	mantraṅ-mantraṅ
01410363-a	maprabheda
00419289-a	maramĕh
01152746-a	mārdawa
01372049-a	mārdawa
01452593-a	marorawa
01919931-a	marorawa
02284578-a	masurat
00888765-a	matsara
01643620-a	mawṛddha
00631391-a	mayukti
01878466-a	mayukti
01564315-a	mĕgĕgĕh
02547317-a	mĕlĕs	umĕlĕs, amĕlĕs
00919155-a	meṅas
02510879-a	mentĕr
00619433-a	mĕtah
01493897-a	mĕtah
01652782-a	minĕb
01052248-a	miṅiṅ
00744916-a	mokĕt	mokĕt-ukĕt
02447344-a	mokĕt	mokĕt-ukĕt
01184932-a	mrat
00709215-a	mṛdu
01454636-a	mṛdu
01508719-a	mṛdu
01052248-a	mrik
00633778-a	mṛṣa
02035337-a	mṛṣa
02461723-a	mṛṣagati
00439588-a	mūḍha
00831225-a	mūḍha
02570282-a	mūḍha
01361414-a	mudita
00703615-a	nalasa	nalaṅsa
01449564-a	naṣṭa
00703615-a	nastapa
02025498-a	nīdana	nīdhana
00904745-a	nindita
00647542-a	nindya
02301560-a	nirākula
01904845-a	nirañjana
01905653-a	nirañjana
02390335-a	niraṅkuśa
02025498-a	nirartha
02497141-a	nirarthaka
00460735-a	nirāwaraṇa
01905653-a	nirāwaraṇa
01049462-a	nirbhāgya
01411065-a	nirbhinna
02025498-a	nirdhana
01319874-a	nirdoṣa
01263013-a	nirghṛṇa
00205295-a	nirlajja
00417413-a	nirmala
01904845-a	nirmala
01905653-a	nirmala
00842199-a	niścala
02301560-a	niścala
00800826-a	niśita
02517265-a	niṣkala
02497141-a	niṣphala
00210848-a	nisroma
01564315-a	niśśabda
02251212-a	nissahāya
01827946-a	niśśaraṇa
00703615-a	niṣṭa	niṣṭha
00904745-a	niṣṭa	niṣṭha
00744916-a	niṣṭhura
01968165-a	nityakāla
02336449-a	nyūna
00703615-a	onĕk
00113818-a	panasbara	panasbaran
01206474-a	paṇḍak
01436003-a	paṇḍak
00217728-a	paṅus	apaṅus
00205295-a	parabhaṅga
01889819-a	parabhaṅga
00647542-a	paracodya
01488245-a	paripakwa
01493173-a	paripakwa
01749320-a	paripakwa
00520214-a	parisamāpta
01003050-a	parisamāpta
02517265-a	pārokṣya	parokṣa
02510879-a	pāruṣya
00842199-a	paṭu
02526124-a	paṭu
01083157-a	pĕnuh
00393105-a	pĕṭak	apĕṭak
02158826-a	picĕk	micĕk
00393105-a	pik
01010862-a	pinakamukha
01277426-a	pinakamukha
00393105-a	piṅhe	piṅhay
00842199-a	prabala
01825671-a	prabala
02161432-a	prabala
02526124-a	prabala
00205295-a	prabhaṅga
01889819-a	prabhaṅga
01410363-a	prabheda
02526124-a	pradurga
00249721-a	pragalbha
01889819-a	pragalbha
00032733-a	pragata
02510879-a	prakosa
00153898-a	pralajjita
01244410-a	prāṅmukha
01244410-a	praṅwaktra
00810916-a	prarabdha
00460735-a	prasanna
01372049-a	prasanna
01968165-a	pratidina
02326695-a	pratiniwiṣṭa
