10780632-n	babini
10787470-n	babini
10332385-n	babu
05598147-n	bacot
10476086-n	baddhaka
14580897-n	bahan
05269901-n	bahĕluṅ
02858304-n	bahitra
04530566-n	bahitra
05563770-n	bāhu
10150071-n	bāhudaṇḍa
14539960-n	bāhudaṇḍa
03589791-n	baju
01639765-n	bakaṭak
10780284-n	balu
02131653-n	baluka
05269901-n	baluṅ
15168790-n	baṅ timur
02742753-n	bāṇa
02858304-n	banawa
04962784-n	baṅbaṅ
15168790-n	baṅbaṅ wetan	baṅ wetan, abaṅ wetan, baṅ timur
10476086-n	baṇḍaṅan
13262663-n	baṇḍaṅan
03652932-n	bandhana
03673971-n	bandhana
04108268-n	bandhana
04181228-n	bandhana
07470671-n	baṇḍiṅ
02883344-n	baṇḍuṣa
03064758-n	baṇḍuṣa
04835724-n	baṅĕt
10309896-n	baṇija
10720453-n	baṇija
08431437-n	bañjar
03938244-n	bantal
09815790-n	bantu
10582154-n	bantu
14845743-n	bañu
14855724-n	bañu
15168790-n	baṅun rahina
05216365-n	bapuh
05549830-n	bapuh
11462526-n	barat
08561835-n	barat	kabarat
13834399-n	barat	kabarat
07203126-n	basama
07226545-n	basama
05556943-n	basaṅ
02728440-n	basana
15237044-n	basantamāsa	wasantamāsa
09270894-n	basundhara	basundharī
02897820-n	bata
04756172-n	bataṅ
05091770-n	bataṅ
06782680-n	bataṅ
05218119-n	baṭaṅ babaṭaṅ
05602548-n	baṭuk
09815790-n	batur
10582154-n	batur
07133701-n	bawarasa
07135734-n	bawarasa
02395406-n	bawi
00227595-n	bayaṅ-bayaṅ
01846331-n	bebek
00042757-n	bĕṅkat
04219424-n	bĕsar
04426788-n	bĕsar
14866889-n	bĕsar
01089778-n	beya
01085098-n	bhāga
13809207-n	bhāga
10602985-n	bhaginī
03990474-n	bhājana
04531098-n	bhājana
00021265-n	bhakṣaṇa
00021265-n	bhakṣya
00021265-n	bhakta
03748886-n	bhāṇḍa
09450163-n	bhānuraśmi
05026843-n	bhāra
10193967-n	bharta	bhartṛ
10640620-n	bhāryā
10780632-n	bhāryā
07092592-n	bhāṣita
07110457-n	bhāṣita
09450163-n	bhāskara
03259505-n	bhawana
08558963-n	bhawana
01201021-n	bheda
00021265-n	bhogi
07490713-n	bhogi
00021265-n	bhojana
07573696-n	bhojana
02206856-n	bhramara
02206856-n	bhṛṅga
08191230-n	bhṛtya
05313535-n	bhrū
05313535-n	bhrukuṭi
09270894-n	bhūh
09270894-n	bhūhloka
05563770-n	bhuja
05564590-n	bhuja
01726692-n	bhujaga
10231515-n	bhūminātha
10231515-n	bhūmipāla
10231515-n	bhūpālaka
10472799-n	bhūpālatanaya
10231515-n	bhūpati
09270894-n	bhūrloka
09270894-n	bhuwana
09270894-n	bhuwanāṇḍa
10780632-n	bi
07484265-n	bilasa
10780632-n	bini
09444783-n	bintaṅ
06333653-n	biseka
00023271-n	bodha
09918248-n	boñcah
05026843-n	bot
05845140-n	bot
02129604-n	bowoṅ
07516354-n	brahmatya	bramatya, brahmantya
07516354-n	brama
14298815-n	braṇa
07110457-n	brawit
07343910-n	buka
15265518-n	buka
05018103-n	buṅah
02797692-n	buṅkah
02798574-n	buṅkah
02157557-n	buntut
09270894-n	buwati
13134947-n	bwah
00965404-n	bwat
03679986-n	bwat
05026843-n	bwat
06634376-n	byapadeśa
05218119-n	byasu
05026843-n	byĕt
08565506-n	byoma
09436708-n	byoma
09436708-n	byomāntara
00070965-n	cacad
14464203-n	cacad
00021265-n	cacar
07573696-n	cacar
01922303-n	caciṅ
14031108-n	caḍaṅ
04574999-n	cakra
00753685-n	cala
04694441-n	cala	cāla
14464203-n	cala	cāla
02084071-n	camari
02084071-n	cambra
14638799-n	cāmīkara
07502980-n	campah
02084071-n	camra
02084071-n	camuru
09358226-n	candra
15209413-n	candra
09358226-n	candramā
03383948-n	caṅgah
05302499-n	caṅkĕm
03532342-n	caṇṭyal	caṇṭel
02879718-n	cāpa
02879718-n	cāpadaṇḍa
03497657-n	capiṅ
01220984-n	cāra	cara
10641755-n	cāraka
13163250-n	caraṅ
05563266-n	caraṇa
04476259-n	caraṇa
06481320-n	carcan	pacarcan
06507041-n	carcan	pacarcan
01895735-n	carma
05238282-n	carma
14759722-n	carma
01895735-n	carmaka
03875218-n	cat
04507155-n	catra,, chattra
02395406-n	celeṅ
04577769-n	cĕmĕṭi
02395406-n	centĕn
03990474-n	cĕpuk
00163233-n	ceṣṭaprayojana
05982152-n	ceṣṭaprayojana
00163233-n	ceṣṭasādhya
05982152-n	ceṣṭasādhya
01220984-n	ceṣṭita
05617606-n	cetana
05675130-n	cetana
13984944-n	chāyā	cāyā
03876519-n	cicitran
05824739-n	cihna
06646243-n	cihna
05824739-n	cihnalakṣaṇa
06646243-n	cihnalakṣaṇa
10391653-n	citrakāra
05611302-n	citta
05919263-n	citta
05821775-n	conto
03596787-n	cuni
05552607-n	ḍaḍa
05554405-n	ḍaḍa
03748886-n	dagaṅan
02152881-n	dagiṅ
05268112-n	dagiṅ
13480848-n	dahana
00021265-n	ḍahar
07573696-n	ḍahar
14473222-n	daiwa
15167027-n	dalu
04862005-n	dama
03636649-n	damar
14805899-n	damyan
01160342-n	daṇḍakarma
03053474-n	daṇḍāstra
03053474-n	daṇḍāyudha
01811909-n	dara	darā
10780632-n	dāra
01639765-n	dardura
05925366-n	darśana
10324851-n	darśana
05611302-n	darya
05919263-n	darya
10582154-n	dāsa
10609325-n	dāsa
05282746-n	dasi
10582154-n	dasih
13265011-n	data
13265011-n	dātawya
10780632-n	dayitā
05216365-n	deha
01904182-n	dĕmi
13384877-n	dĕmi
04317420-n	dĕṇḍa
10582154-n	ḍĕṅĕn
08630985-n	deśa
08644722-n	deśa
00883297-n	deśanā
06650701-n	deśanā
04407435-n	dewagṛha
04407435-n	dewakuśala
04407435-n	dewasthana
04407435-n	dewaweśma
05675601-n	ḍewek
10243137-n	dewī
10474064-n	dewī
13250542-n	dhana
13353280-n	dhana
02879718-n	dhanuh	dhanu
02879718-n	dhanwa
07731952-n	dhānya
07802417-n	dhānya
09270894-n	dharaṇī
04407435-n	dharmasthāna
05617606-n	dhīh
05789089-n	dhṛti
03354903-n	dhwaja
09450163-n	dihyaṅ
13480848-n	dilah
05301072-n	dilat
15265518-n	ḍimin
11444038-n	dina
15155220-n	dina
09450163-n	dinakara	dinakāra
15155220-n	dintĕn
03636649-n	dīpa
03665366-n	dīpa
03666591-n	dīpa
09316454-n	dīpa
02503517-n	dipak
13480848-n	dīpta
09450163-n	ditya
15129927-n	diwa
15155220-n	diwa
09450163-n	diwākara
09450163-n	diwaṅkara
01318894-n	dodolan
03816136-n	dom
00007347-n	domeh	dwameh
06739990-n	domeh	dwameh
05980875-n	don	dwan
05981230-n	don	dwan
05982152-n	don	dwan
00748515-n	drawinabhuk
05311054-n	drĕta
00980038-n	droha
01224031-n	droha
07420770-n	droha
14285662-n	droha
05820620-n	dṛṣṭopama
05925366-n	dṛṣṭopama
03264136-n	du	dū
09992837-n	duhitā
15265518-n	ḍuhun
04674715-n	dulu
13809207-n	dūman	dum-duman
06197215-n	dunuṅ
06650701-n	dunuṅ
13089631-n	duwi
13746785-n	dwādaśa
03221720-n	dwāra
03290771-n	dwāra
05248181-n	dwāra
05860200-n	dwaya
00964569-n	dweṣa
13980288-n	dweṣa
02151625-n	dwī
05860200-n	dwiguṇa
09316454-n	dwīpa
02503517-n	dwipa
02503517-n	dwipak
02503517-n	dwipāṅga
02503517-n	dwirada
02503517-n	dwirĕge
14460565-n	ekatwa
05547508-n	ĕlak-ĕlakan
02829696-n	ĕluk
13867641-n	ĕluk
13869327-n	ĕluk
13907415-n	ĕluk
05567217-n	ĕmpol-ĕmpolan
05538625-n	ĕṇḍas
07840804-n	ĕṇḍog
14956325-n	ĕṇḍut
06197215-n	ĕnĕr
08647616-n	ĕṅgon
08664443-n	ĕṅgon
11525955-n	ĕntut
13163250-n	ĕpaṅ
14845743-n	er	air, her
09475292-n	er-tambaṅ	air-tambaṅ
13089631-n	ĕri
09475292-n	ertali	airtali
14855724-n	ĕyĕh
03053474-n	gadā
03053474-n	gadāyudha
13129165-n	gagaṅ
09210604-n	gagana
09436708-n	gaganatala
03234306-n	gagatra
05068918-n	galintuṅ
09303008-n	galintuṅ
03596787-n	galuh
05091770-n	gamanta
05792010-n	gamanta
14483917-n	gamanta
09376198-n	gambhīrālaya
13129165-n	gaṅ
14635722-n	ganaga
05142863-n	gañjar
10680153-n	gantyan
01458842-n	garbha
09918248-n	garbha
07813107-n	garĕm	garam
05216365-n	gātrāwayawa
00584367-n	gawe	gaway
00719705-n	gawe	gaway
00795720-n	gawe	gaway
05149325-n	gawe	gaway
05982152-n	gawe	gaway
07753592-n	gĕḍaṅ
04059701-n	gĕgĕr
14997012-n	gĕlĕpuṅ
07859284-n	gĕṇḍis
09411430-n	gĕṅga
04435180-n	gĕṇṭeṅ
09247410-n	ghana
10780632-n	ghāra
10780632-n	ghariṇī
03593526-n	ghaṭa
06726158-n	ghoṣita
02374451-n	ghoṭaka
05598147-n	ghrāṇa
05602548-n	gidat
04059701-n	gigir
03484083-n	giliṅ	giliṅan
04543158-n	giliṅ	giliṅan
04728068-n	giṇa
05149325-n	giṇa
09359803-n	giri
07503987-n	giris
07519253-n	giris
07524529-n	giris
10599806-n	gītada
02402425-n	go	goh
02403454-n	go	goh
13152742-n	goḍoṅ
05029706-n	göṅ	gĕṅ
05035353-n	göṅ	gĕṅ
07138085-n	gonita
06673142-n	gopanīya
03427296-n	gopuntĕn	gupuntĕn
01230965-n	goṣṭhiwicāra
07138085-n	goṣṭhiwicāra
09359803-n	gotra
09304465-n	gowok
09393108-n	gowok
07092592-n	grantha
03259505-n	gṛha
03544360-n	gṛha
14061805-n	griṅ	gĕriṅ
05546540-n	grīwa
05546540-n	grīwāwayawa
03151077-n	gubah
07859284-n	gula
14024882-n	guliṅ
05546540-n	gulū
05547508-n	gulū
07961480-n	gumuk
09303008-n	gumuk
09359803-n	gunuṅ
05547508-n	guruṅ-guruṅan	guguruṅan
06778102-n	guyu
00555648-n	gyā	gya, gyā-gyā
04687333-n	halĕp
02503517-n	haliman	aliman
07840804-n	hantĕlu
07840804-n	hantiga
07718472-n	hantimun
07840804-n	hantrini
00021265-n	harabaksa
02152881-n	haramaṅsa
02129165-n	hari
02129604-n	harimoṅ
05405751-n	hariṅĕtĕn
07490713-n	harṣa	arṣa
07527352-n	harṣa	arṣa
03398467-n	harṣa	arṣa
07490713-n	harṣika
09815790-n	hastadhāra
09815790-n	hastapāda	astapada
10582154-n	hastapāda	astapada
02503517-n	hasti	asti
05615869-n	hāt
07504841-n	hāt
07524529-n	hāt
04105068-n	hatĕp
04151940-n	hatĕp
10352299-n	hatur parö
13163250-n	hawis
02374451-n	haya	hayah
08613472-n	heṅ
04982207-n	hĕnĕṅ	ĕnĕṅ, hĕnaṅ
04096066-n	hĕnū	ĕnu
05279026-n	higā	igā
11482706-n	hima
08510666-n	himbaṅ	imbaṅ
08512736-n	himbaṅ	imbaṅ
09437454-n	himbaṅ	imbaṅ
02764614-n	hiṇḍĕn
13371958-n	hintĕn	intĕn
13371958-n	hīrabajra
14638799-n	hiraṇya
08510666-n	hiriṅan
00817680-n	höb	hĕb, öb
14539960-n	höb	hĕb, öb
00227595-n	hotra
00351638-n	hrāsa
07355887-n	hrāsa
05919263-n	hṛdi
07535010-n	hṛdroga
00202284-n	hrĕt	rĕt, ĕrĕt
05825245-n	hrĕt	rĕt, ĕrĕt
06247701-n	hrĕt	rĕt, ĕrĕt
13089631-n	hri
07527352-n	hṛṣṭi	rĕṣṭi
02742753-n	hrū
11501381-n	hudan	udan
05282746-n	huntu	untu, wuntu
07961480-n	hunur	unur, hunor
09303008-n	hunur	unur, hunor
06515827-n	hurip
13397174-n	hutaṅ	utaṅ
00227595-n	huti
03714235-n	hyas yas	hes, es
01482330-n	hyu
05813229-n	hyun
07484265-n	hyun
02503517-n	ibha
10332385-n	iduṅ
02512053-n	ikan	hikan
07775375-n	ikan	hikan
03673971-n	ikĕt
02157557-n	ikū	ikuh
05301072-n	ilat	hilat
07503987-n	ilik	hilik
00872107-n	imbuh
05108947-n	imbuh
13497135-n	imbuh
10332385-n	ina
09450163-n	ina
07515790-n	inak ambĕk
07531255-n	inak ambĕk
10332385-n	inaṅ
13104059-n	indana	windana, indani
15098161-n	indana	windana, indani
13832355-n	indradeśa	indradiśa, indradik
09358226-n	indu
05935060-n	iṅĕt	iṅöt
01318894-n	iṅwan-iṅwan
05768553-n	ipyan	ipen
14440137-n	iraṅ
10077593-n	irir
05598147-n	iruṅ	hiruṅ
07484265-n	iṣṭa
02897820-n	iṣṭakā
05982152-n	iṣṭaprāya
07484265-n	iṣṭaprāya
02742753-n	iṣu
03648219-n	isuh-isuh
01846331-n	itik
02512053-n	iwak
07775375-n	iwak
08613472-n	jaba
09270894-n	jagat
05559256-n	jaghana
07731952-n	jaguṅ
14845743-n	jahnī
05552607-n	jaja
05554405-n	jaja
14845743-n	jala
09247410-n	jalada
09247410-n	jaladhara
09376198-n	jaladhi
09376198-n	jalanidhi
10193967-n	jalu	jalu-jalu
03151077-n	jamanika
04151581-n	jamanika
02742753-n	jampariṅ	jĕmpariṅ
03740161-n	jampi	jampyan
04074482-n	jampi	jampyan
12997919-n	jamur
08683548-n	jaṅgala
05599617-n	jaṅgut
02229544-n	jaṅkrik
02472293-n	janmawān
02472293-n	janmi
03239726-n	jara
05566504-n	jariji
05577410-n	jariji
14702875-n	jatu
11501381-n	jawah
11501381-n	jawuh	jawĕh
10582154-n	jĕjĕkan
05573602-n	jĕjĕṅku
05261566-n	jeṅgot
05301072-n	jihwā
13384877-n	jinah
10627082-n	jīwita
04507155-n	joṅ
07524529-n	jrih	jĕrih
04059701-n	juluk
03354903-n	juluk-juluk	jujuluk
00953559-n	jurit
10078806-n	juru sawah
13480848-n	jwālā	jwala
13480848-n	jwalana
13480848-n	jwalita
13480848-n	kabaranaṅ	makabaranaṅ, patiṅ baranaṅ
01206153-n	kabhaktin	kabhaktyan
04877530-n	kabhaktin	kabhaktyan
05946687-n	kabhaktin	kabhaktyan
07545161-n	kabhaktin	kabhaktyan
13929852-n	kabhaktin	kabhaktyan
05200169-n	kabisan
05637558-n	kabisan
05026843-n	kabwatan
11464143-n	kabwatan
14881303-n	kaca
07737745-n	kacaṅ
04640538-n	kadhairyan
04857083-n	kadhairyan
04847482-n	kadharmakuśalan
04862005-n	kadhīrabratan
04857083-n	kadhīran
04862005-n	kadhīran
07473441-n	kadigjayan
05084201-n	kadohan
05988282-n	kadurmedhan
14440137-n	kaduryaśan
01503061-n	kaga	kāga, khaga
07531536-n	kagarwan
08664443-n	kahanan
04857083-n	kāhaṅkāran
07531536-n	kāhaṅkāran
07484265-n	kaharṣa	karsa
07527352-n	kaharṣajan
14447525-n	kahaywan	kaayon
07531536-n	kahĕṅkaran
07334490-n	kahilaṅ	hilaṅan
00070965-n	kahiwaṅ
14464203-n	kahiwaṅ
05980875-n	kahuwusan
03938244-n	kajaṅ sirah	kahos sirah, karaṅ sirah
04640356-n	kajanānurāgan
08507558-n	kajanman
07473441-n	kajayan
00023271-n	kakawihan
14449405-n	kakuraṅ
15129927-n	kāla
07420770-n	kala-hala
14285662-n	kala-hala
14464203-n	kala-hala
05637558-n	kalāghawan
05642175-n	kalagutan
00953559-n	kalaha
01168569-n	kalaha
01170962-n	kalaha
07184149-n	kalaha
03589791-n	kalambi
04693900-n	kalaṅka
04694441-n	kalaṅka
07494363-n	kalara
07535010-n	kalara
07535670-n	kalara
03593526-n	kalaśa
14844693-n	kalĕṅka
13746785-n	kalihwĕlas
07355491-n	kalīnan
04337974-n	kaliṇḍĕn
04092609-n	kalpika
09815790-n	kalula
10582154-n	kalula
13489037-n	kalumuṅan
01229938-n	kalyan
02416519-n	kambiṅ
05617606-n	kamedhan
07516997-n	kamĕttan
02151625-n	kampid
00965404-n	kamūrkhan
08625073-n	kānan
09284015-n	kānana
09763784-n	kañca
09785042-n	kañca
14638799-n	kāñcana
02788689-n	kañciṅ
02865665-n	kañciṅ
03682487-n	kañciṅ
07540866-n	kaṇḍap
04838210-n	kāṅgakāran
14298815-n	kanin
05547508-n	kaṇṭha
09785042-n	kaṇṭi
00429949-n	kapacĕh
14448333-n	kapāpan
13353280-n	kapariwṛddhyan
03115180-n	kapas
07355491-n	kapatin
02484322-n	kapi
01229938-n	kapiṇḍan
07951464-n	kapiṇḍan
05988282-n	kapiṅgiṅ
13846546-n	kapiṅrwa
00023271-n	kaprajñan
04857083-n	kaprawīran
07535670-n	kaprihati
09763784-n	kapriya
09849598-n	kapriya
05988282-n	kapuṅguṅ	kapuṅguṅan
04847482-n	kapuṇyan
04849241-n	kapuṇyan
03938244-n	karaṅ hulu
00007347-n	karaṇa	kāraṇa
06739990-n	karaṇa	kāraṇa
15147097-n	kararayan
15147713-n	kararayan
07531255-n	karĕṇan
02484322-n	karĕyah	krĕyah
14698884-n	karikil
05405751-n	kariṅĕt
04635104-n	karmika
02879718-n	kārmuka
05320899-n	karṇa
10415638-n	kartā
04849241-n	kasādhun	kasadon
14062725-n	kasaktan
05029706-n	kaśakti	kaśaktin, kaśaktyan
05035353-n	kaśakti	kaśaktin, kaśaktyan
00070965-n	kasalah
07502980-n	kasampayan
04756887-n	kasandeha
05698247-n	kasandeha
05698791-n	kasandeha
05919034-n	kasandeha
07495327-n	kasaṅsāran
07495551-n	kasaṅsāran
00964569-n	kaśatrubhūta
13980288-n	kaśatrubhūta
07516354-n	kasĕṅhit
01209576-n	kasewakan
02788021-n	kasir-kasir
14437386-n	kasubhagan
05018103-n	kaśuddhan
07515790-n	kaśuddhan
13353280-n	kasugihan
07319103-n	kasulabhan
04857083-n	kaśūran
04847482-n	kasuśīlan
04807050-n	kasuyaśan
14437386-n	kasuyaśan
14447525-n	kaswastha	kaswasthan
14538472-n	kaswastha	kaswasthan
05121418-n	kaṭah
15147713-n	kataruṇan
04687333-n	katĕkāsihan
06514093-n	kathā
07221094-n	kathā
06514093-n	kathākhya
07221094-n	kathākhya
00965404-n	katībran
14477877-n	katiwasan
07484265-n	katön
07531255-n	katṛpti	katṛptyan
07531255-n	katuṣṭabuddhin
05637558-n	kawagĕdan
05200169-n	kawaicitryan
05637558-n	kawaicitryan
04857083-n	kawanin
04594218-n	kawat
09411430-n	kaweri
08177592-n	kawibhawan
10461424-n	kawibhawan
13353280-n	kawibhawan
05637558-n	kawidagdhan
05113133-n	kawiguṇan
00023271-n	kawihikan
05637558-n	kawihikan
07473441-n	kawijayan
00023271-n	kawijñānan
13977366-n	kawikāra
04857083-n	kawikraman
07506569-n	kawiraṅ
07507098-n	kawiraṅ
14440137-n	kawiraṅ
04857083-n	kawīrapuruṣan
04857083-n	kawīryamantan
08177592-n	kawīryamantan
10461424-n	kawīryamantan
04857083-n	kawīryan
14489699-n	kawṛddhyan
10582154-n	kawula
09792555-n	kawwitan	kawitan
10399491-n	kawwitan	kawitan
05216365-n	kāya
00786195-n	kayatnan
13104059-n	kayon
13104059-n	kayu
15098161-n	kayu
06874930-n	kĕḍap
05029706-n	kĕlar
05035353-n	kĕlar
11669921-n	kĕmbaṅ	kambaṅ
05933246-n	kendriyan
02484322-n	kĕra
08625462-n	keri	kiri
05254795-n	keśarja
05982152-n	keta
07484265-n	keta
04219424-n	kĕtas
14374432-n	kĕtir
02788021-n	ketu
03354903-n	ketu
06791372-n	ketu
00623862-n	kewĕh
04709253-n	kewĕh
13833375-n	kidul
05563266-n	kikil
03336839-n	kikir
03327234-n	kikis
08512736-n	kikis
08561835-n	kilen
13834399-n	kilen
00070965-n	kilwiṣa	kilbiṣa
00757080-n	kilwiṣa	kilbiṣa
00766234-n	kilwiṣa	kilbiṣa
04669692-n	kilwiṣa	kilbiṣa
13990675-n	kilwiṣa	kilbiṣa
08561835-n	kilyan
13834399-n	kilyan
00786195-n	kinkin	kiṅkin
05562595-n	kisapu
05562595-n	kisapwan
01922303-n	kiṭa
02159955-n	kiṭa
08625462-n	kiwa	ri kiwa, kiwan, ri kiwan
09393108-n	klĕwuṅ	kĕlĕwuṅ
01639765-n	koḍok
08664443-n	kon
03221720-n	kontĕn
03427296-n	kontĕn
04628192-n	kopa
07480896-n	kopa
07516354-n	kopa
07516997-n	kopa
07314838-n	kopahata
07420770-n	kopahata
04640538-n	kopakṣaman
03221720-n	kori
08463969-n	kośa
13353280-n	kośa
00786195-n	kotsāhan
13831176-n	kottara
05029706-n	kral
05035961-n	kral
00038262-n	krama
14496710-n	krama
04829550-n	kṛpā
00916464-n	kṛṣi
05637558-n	kṛtajñatā
10768585-n	kṣatriya
08569998-n	kṣetra	setra
07844042-n	kṣīra
09334396-n	kṣitipada
10231515-n	kṣitipati
09334396-n	kṣoṇi
02121620-n	kuciṅ
02374451-n	kuda
01639765-n	kuḍuk
02849154-n	kuḍuṅ-kuḍuṅ
03502331-n	kuḍuṅ-kuḍuṅ
04151940-n	kuḍuṅ-kuḍuṅ
05556943-n	kukṣi
05581693-n	kuku
04923743-n	kula
07970721-n	kula
07969695-n	kulagotra
07970721-n	kulagotra
03589791-n	kulambi
07967982-n	kulasantāna
09792555-n	kulatantra
15167027-n	kulĕm
01895735-n	kulit
01904182-n	kulit
05238282-n	kulit
07738353-n	kulit
11683556-n	kulit
13162297-n	kulit
08561835-n	kulon
13834399-n	kulon
07961480-n	kulumpuk
08561835-n	kulwan
13834399-n	kulwan
02881193-n	kuṇḍi
03990474-n	kuṇḍi
02881193-n	kuṇḍikā
03990474-n	kuṇḍikāpātra
02881193-n	kuṇḍipātra
03990474-n	kuṇḍipātra
08645033-n	kuñjadeśa
02503517-n	kuñjara
04572344-n	kūpa
09393108-n	kūpa
05320899-n	kupiṅ	kopiṅ
02274259-n	kupu-kupu	kukupu
02936714-n	kuruṅan
12102133-n	kuśa
11669921-n	kusumasāri
05238282-n	kut
08617963-n	kūṭa
08677801-n	kūṭa
08078020-n	kuṭumba
09304465-n	kuwuṅ
09393108-n	kuwuṅ
09403427-n	kuwuṅ-kuwuṅ
13812607-n	kwa-kwan
13928388-n	kwa-kwan
05121418-n	kwehan
05157574-n	lābha
13253255-n	lābha
00953559-n	laga
14956325-n	lagĕḍu
00414179-n	lagu
04910377-n	lagu
05002822-n	lagu
02151625-n	lahuyaṅ
07506569-n	lajja	lajjā
07507098-n	lajja	lajjā
14440137-n	lajja	lajjā
10193967-n	laki	laki-laki
06514093-n	lalakon
07221094-n	lalakon
03169390-n	lalaṅkaran	lĕlĕṅkaran
03234306-n	lalaṅkaran	lĕlĕṅkaran
05602548-n	lalāṭa
02139199-n	lalawah
04546855-n	lalayan	laleyan
02190166-n	lalĕr
07506382-n	lalis
15169421-n	laluṅ
01896031-n	lambā
05254795-n	lambā
13152742-n	lambā
08510666-n	lamban	lambwan
05305806-n	lambe	lambay
02157557-n	lāṅgūla
02157557-n	laṅguli
09436708-n	laṅit
13757249-n	laṅkah
02879718-n	laṅkap
14966667-n	lantuṅ
02879718-n	laras
08431437-n	larik
14956325-n	latĕk
15167027-n	latri
03221720-n	lawaṅ
03290771-n	lawaṅ
03427296-n	lawaṅ
09626238-n	lawan	lāwan
09773245-n	lawan	lāwan
03427296-n	lawaṅan
04426788-n	lawe
04127904-n	layar
02788021-n	layu-layu
09468604-n	lĕbak
14839846-n	lĕbū
14956325-n	lĕbug
09358226-n	lek
04546855-n	leleyan
09334396-n	lĕmah
14844693-n	lĕmah
09468604-n	lĕmbah
04645943-n	lĕmĕh	lĕmah
04999401-n	lĕmu
09304465-n	leṅ
05563770-n	lĕṅĕn
03128519-n	lepa
09258715-n	lĕpit
02865665-n	leregan
06741305-n	leśya
05559256-n	lĕt
04694441-n	lĕtĕh
14844693-n	lĕtĕh
05301072-n	liḍah
09304465-n	lihaṅ
00877625-n	lihat
04674715-n	lihat
07296428-n	liliron
02503517-n	liman
11482706-n	limut
04687333-n	lindi
04151940-n	liṇḍuṅan
09444783-n	lintaṅ
05136150-n	lo
05311054-n	locana
02062744-n	lodan
09411430-n	loh
14642417-n	loha
05136150-n	lok
13941125-n	lok
11463544-n	löṅ
13831176-n	lor
03053474-n	lori
10193026-n	lubdhaka
06778102-n	lucu
10391653-n	lukis
05563770-n	luṅayan	luṅeyan
05564590-n	luṅayan	luṅeyan
03416329-n	luṅka
09468604-n	lurah
10162991-n	lurah
09304465-n	luwaṅ
09393108-n	luwaṅ
09393108-n	luwuk
05136150-n	lwā	lwa
09411430-n	lwah
09304465-n	lyaṅ
02129604-n	macan
07858978-n	madhu
04687333-n	mādhurya
05555688-n	madhyāṅga
15168185-n	madhyarātri
08565506-n	mahālayabhawana
03619890-n	mahānasa
10231515-n	mahāpārthiwa
09376198-n	mahārṇawa
03619890-n	mahāśana
09359803-n	mahīdhara
10499355-n	mahiṣī
09376198-n	mahodadhi
13931145-n	maitrī	metrī
13736799-n	majana
10546633-n	majaya
02190166-n	makṣika
03138669-n	makuṭa
14802450-n	malela
15167027-n	malĕm
09545976-n	mamĕdi	mĕmĕdi
05611302-n	manah
05919263-n	manah
13985818-n	manah
00163233-n	manah-manahan
04726724-n	manah-manahan
05770926-n	manana
08493064-n	maṇḍala
08552138-n	maṇḍala
13873502-n	maṇḍala
13899404-n	maṇḍala
01639765-n	maṇḍūka
13834399-n	maṅilyan
07484265-n	manoratha	manorati
05268112-n	māṅsa
07649854-n	māṅsa
02503517-n	mantĕṅga
02472293-n	manuh
02472293-n	manuja
01503061-n	manuk
02472293-n	mānuṣa
02472293-n	mānuṣya
02742753-n	mārgaṇa
05399847-n	marus
05538625-n	mastaka
05540121-n	mastaka
10332385-n	mātā
02503517-n	mātaṅga
02503517-n	matĕṅga
02430045-n	mateya
10332385-n	matuh
09334396-n	medinī
09247410-n	megha
02411705-n	menda
02411705-n	meṣa
05311054-n	metra
07891726-n	miñu
13149506-n	mirica
00007347-n	mita
06739990-n	mita
09763784-n	mitra
09785042-n	mitra
03916031-n	moda
07527352-n	moda
02129604-n	moṅ
00452293-n	mṛgayā
07355491-n	mṛta	mrĕta
05302499-n	mukha
05538625-n	mukha
10162991-n	mukha
03138669-n	mukuṭa
13125117-n	mūla
10112129-n	muni
07946851-n	muṅsuh
10055847-n	muṅsuh
13901211-n	murawa
07028373-n	mūrchana
02330245-n	mūṣika
07946851-n	musuh
09773245-n	musuh
10055847-n	musuh
14855724-n	mūtra
09210604-n	nabha	nabhas
09436708-n	nabha	nabhas
09210604-n	nabhāntarala
09436708-n	nabhāntarala
09436708-n	nabhastala
05718254-n	nāda
09411430-n	nadī
02503517-n	nāga
15121625-n	nāgata
05581693-n	nakha
02200198-n	namuk
00007846-n	nara
02472293-n	nara
10287213-n	nara
10231515-n	narādhipati
06333653-n	ṅaran	ṅharan, haran, aran
10499355-n	naranāthadewī
10472799-n	naranāthaputra
10474064-n	naranāthasutā
10231515-n	narapati
10472799-n	narapati
10628644-n	narapati
10474064-n	narapatiputrikā
10472799-n	narapatisuta
10472799-n	narāryātmaja
10474064-n	narawaraduhitā	narawaraputrikā
10474064-n	narendraduhitā
10474064-n	narendrakanyakā
10472799-n	narendratanaya
10472799-n	narendrātmaja
10499355-n	narendrawadhū
10474064-n	nareśwaraputrī
10499355-n	nareśwarawadhū
10499355-n	nareśwarī
10780632-n	nārī
10787470-n	nārī
10499355-n	nārīrāja
00429048-n	narma
06778102-n	narma
09623038-n	naryama
05598147-n	nāsikā
15121625-n	natgata
04071102-n	nātha
10499355-n	nāthadewī
05687338-n	ṅel	ṅhel
07289014-n	ṅel	ṅhel
07524242-n	ṅel	ṅhel
05311054-n	netra
03596787-n	netran	nenetra
14699752-n	netran	nenetra
08647616-n	ṅgwan	ṅgwān
08664443-n	ṅgwan	ṅgwān
